Column5;Column7;Column8;Column9;Column10;Column13
Artist;Track name;Track length;Album name;Year;Genre by iTunes
Aqua;Happy Boys and Girls;3:36;Aquarium;1997;Pop
Aqua;My Oh My;3:24;Aquarium;1997;Pop
Aqua;Barbie Girl (Radio);3:17;Aquarium;1997;Pop
Aqua;Good Morning Sunshine;4:04;Aquarium;1997;Pop
Aqua;Doctor Jones;3:23;Aquarium;1997;Pop
Aqua;Heat of the Night;3:35;Aquarium;1997;Pop
Aqua;Be a Man;4:23;Aquarium;1997;Pop
Aqua;Lollipop (Candyman);3:36;Aquarium;1997;Pop
Aqua;Roses are Red;3:45;Aquarium;1997;Pop
Aqua;Turn Back Time;4:09;Aquarium;1997;Pop
Aqua;Calling You;3:32;Aquarium;1997;Pop
Aqua;Cartoon Heroes (Radio);3:36;Aquarius;2000;Pop
Aqua;Around the World;3:28;Aquarius;2000;Pop
Aqua;Freaky Friday;3:45;Aquarius;2000;Pop
Aqua;We Belong to the Sea;4:17;Aquarius;2000;Pop
Aqua;An Apple a Day;3:37;Aquarius;2000;Pop
Aqua;Halloween;3:49;Aquarius;2000;Pop
Aqua;Good Guys;3:58;Aquarius;2000;Pop
Aqua;Back from Mars;4:03;Aquarius;2000;Pop
Aqua;Aquarius;4:21;Aquarius;2000;Pop
Aqua;Cuba Libre;3:36;Aquarius;2000;Pop
Aqua;Bumble Bees;3:52;Aquarius;2000;Pop
Aqua;Goodbye to the Circus;3:59;Aquarius;2000;Pop
Eminem;Public Service Announcement;0:33;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;My Name Is;4:28;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Guilty Conscience (feat. Dr. Dre);3:19;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Brain Damage;3:46;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Paul (Skit);0:15;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;If I Had;4:05;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;97 Bonnie & Clyde;5:16;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Bitch (Skit);0:19;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Role Model;3:25;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Lounge (Skit);0:46;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;My Fault;4:01;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Ken Kaniff (Skit);1:16;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Cum On Everybody;3:39;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Rock Bottom;3:34;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Just Don't Give a F**k;4:02;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Soap (Skit);0:34;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;As the World Turns;4:25;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;I'm Shady;3:31;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;"Bad Meets Evil (feat. Royce da 5'9"")";4:13;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Still Don't Give a F**k;4:12;The Slim Shady LP;1999;Hip-Hop/Rap
Eminem;Public Service Announcement 2000;0:25;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Kill You;4:24;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Stan;6:44;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Paul (Skit);0:10;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Who Knew;3:47;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Steve Berman (Skit);0:53;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;The Way I Am;4:50;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;The Real Slim Shady;4:44;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Remember Me?;3:38;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;I'm Back;5:09;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Marshall Mathers;5:20;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Ken Kaniff (Skit);1:01;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Drug Ballad;5:00;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Amityville;4:14;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Bitch Please 2;4:48;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Kim;6:17;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Under the Influence;5:21;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Criminal;5:19;The Marshall Mathers LP;2000;Hip-Hop/Rap
Eminem;Curtains Up (Skit);0:29;The Eminem Show;2002;Hip-Hop/Rap
Eminem;White America;5:24;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Business;4:11;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Cleanin' Out My Closet;4:57;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Square Dance;5:24;The Eminem Show;2002;Hip-Hop/Rap
Eminem;The Kiss (Skit);1:15;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Soldier;3:46;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Say Goodbye Hollywood;4:32;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Drips;4:45;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Without Me;4:50;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Paul Rosenberg (Skit);0:22;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Sing for the Moment;5:39;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Superman;5:50;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Hailie's Song;5:20;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Steve Berman (Skit);0:33;The Eminem Show;2002;Hip-Hop/Rap
Eminem;When the Music Stops;4:28;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Say What U Say;5:09;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Till I Collapse;4:57;The Eminem Show;2002;Hip-Hop/Rap
Eminem;My Dad's Gone Crazy;4:26;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Curtains Close (Skit);1:00;The Eminem Show;2002;Hip-Hop/Rap
Eminem;Curtains Up;0:46;Encore;2004;Hip-Hop/Rap
Eminem;Evil Deeds;4:19;Encore;2004;Hip-Hop/Rap
Eminem;Never Enough (feat. 50 Cent & Nate Dogg);2:39;Encore;2004;Hip-Hop/Rap
Eminem;Yellow Brick Road;5:46;Encore;2004;Hip-Hop/Rap
Eminem;Like Toy Soldiers;4:56;Encore;2004;Hip-Hop/Rap
Eminem;Mosh;5:17;Encore;2004;Hip-Hop/Rap
Eminem;Puke;4:07;Encore;2004;Hip-Hop/Rap
Eminem;My 1st Single;5:02;Encore;2004;Hip-Hop/Rap
Eminem;Paul (Skit);0:32;Encore;2004;Hip-Hop/Rap
Eminem;Rain Man;5:13;Encore;2004;Hip-Hop/Rap
Eminem;Big Weenie;4:26;Encore;2004;Hip-Hop/Rap
Eminem;Em Calls Paul (Skit);1:11;Encore;2004;Hip-Hop/Rap
Eminem;Just Lose It;4:08;Encore;2004;Hip-Hop/Rap
Eminem;Ass Like That;4:25;Encore;2004;Hip-Hop/Rap
Eminem;Spend Some Time (feat. Obie Trice, Stat Quo & 50 Cent);5:10;Encore;2004;Hip-Hop/Rap
Eminem;Mockingbird;4:10;Encore;2004;Hip-Hop/Rap
Eminem;Crazy In Love;4:02;Encore;2004;Hip-Hop/Rap
Eminem;One Shot 2 Shot (feat. D12);4:26;Encore;2004;Hip-Hop/Rap
Eminem;Final Thought (Skit);0:30;Encore;2004;Hip-Hop/Rap
Eminem;Encore / Curtains Down (feat. Dr. Dre & 50 Cent);5:48;Encore;2004;Hip-Hop/Rap
Eminem;Curtains Up;0:46;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Evil Deeds;4:13;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Never Enough (feat. 50 Cent & Nate Dogg);2:39;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Yellow Brick Road;5:46;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Like Toy Soldiers;4:50;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Mosh;5:17;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Puke;4:07;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;My 1st Single;5:02;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Paul (Skit);0:32;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Rain Man;5:13;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Big Weenie;4:26;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Em Calls Paul (Skit);1:07;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Just Lose It;4:08;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Ass Like That;4:25;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Spend Some Time (feat. Obie Trice, Stat Quo & 50 Cent);5:10;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Mockingbird;4:10;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Crazy in Love;4:03;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;One Shot 2 Shot (feat. D12);4:15;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Final Thought (Skit);0:30;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Encore (feat. Dr. Dre & 50 Cent);5:12;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;We As Americans;4:36;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Love You More;4:43;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Ricky Ticky Toc;2:49;Encore (Deluxe Version);2004;Hip-Hop/Rap
Eminem;Shady Narcotics;0:56;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;We're Back;3:59;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Pistol Pistol (Remix);2:25;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Murder;2:10;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Everything Is Shady;4:29;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;The Re-Up;2:57;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;You Don't Know;4:17;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Jimmy Crack Corn;3:54;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Trapped;0:58;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Whatever You Want;2:48;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Talkin' All That;4:05;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;By My Side;4:06;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;We Ride for Shady;3:08;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;There He Is;4:25;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Tryin' Ta Win;3:52;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Smack That (Remix);5:11;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Public Enemy #1;1:54;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Get Low;3:19;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Ski Mask Way (Eminem Remix);3:04;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Shake That (Remix);2:59;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Cry Now (Shady Remix);5:09;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;No Apologies;4:16;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Billion Bucks (Bonus Track);3:41;Eminem Presents the Re-Up (Bonus Track Version);2006;Hip-Hop/Rap
Eminem;Dr. West (Skit);1:29;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;3 A.M.;5:19;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;My Mom;5:19;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Insane;3:01;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Bagpipes from Baghdad;4:43;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Hello;4:08;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Tonya (Skit);0:42;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Same Song & Dance;4:06;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;We Made You;4:29;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Medicine Ball;3:57;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Paul (Skit);0:19;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Stay Wide Awake;5:19;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Old Time's Sake (feat. Dr. Dre);4:38;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Must Be the Ganja;4:02;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Mr. Mathers (Skit);0:42;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Déjà Vu;4:43;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Beautiful;6:32;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Crack a Bottle (feat. Dr. Dre & 50 Cent);4:57;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Steve Berman (Skit);1:29;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Underground;6:11;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Forever (with Drake, Kanye West & Lil Wayne);5:57;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Hell Breaks Loose (feat. Dr. Dre);4:04;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Buffalo Bill;3:56;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Elevator;4:52;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Taking My Ball;5:02;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Music Box;5:04;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Drop the Bomb On 'Em;4:47;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;My Darling;5:19;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Careful What You Wish For;3:47;Relapse: Refill;2009;Hip-Hop/Rap
Eminem;Dr. West (Skit);1:29;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;3 A.M.;5:19;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;My Mom;5:19;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Insane;3:01;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Bagpipes from Baghdad;4:43;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Hello;4:08;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Tonya (Skit);0:42;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Same Song & Dance;4:06;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;We Made You;4:29;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Medicine Ball;3:57;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Paul (Skit);0:19;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Stay Wide Awake;5:19;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Old Time's Sake (feat. Dr. Dre);4:38;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Must Be the Ganja;4:02;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Mr. Mathers (Skit);0:42;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Deja Vu;4:43;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Beautiful;6:32;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Crack a Bottle (feat. Dr. Dre & 50 Cent);4:57;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Steve Berman (Skit);1:29;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Underground / Ken Kaniff;6:10;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;We Made You (Single Version);4:46;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Crack a Bottle (feat. Dr. Dre);5:15;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;My Darling;5:20;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Careful What You Wish For;3:47;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;3 A.M.;5:26;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;We Made You;4:42;Relapse (Deluxe Version);2009;Hip-Hop/Rap
Eminem;Dr. West (Skit);1:29;Relapse;2009;Hip-Hop/Rap
Eminem;3 a.m.;5:19;Relapse;2009;Hip-Hop/Rap
Eminem;My Mom;5:19;Relapse;2009;Hip-Hop/Rap
Eminem;Insane;3:01;Relapse;2009;Hip-Hop/Rap
Eminem;Bagpipes from Baghdad;4:43;Relapse;2009;Hip-Hop/Rap
Eminem;Hello;4:08;Relapse;2009;Hip-Hop/Rap
Eminem;Tonya (Skit);0:42;Relapse;2009;Hip-Hop/Rap
Eminem;Same Song & Dance;4:06;Relapse;2009;Hip-Hop/Rap
Eminem;We Made You;4:29;Relapse;2009;Hip-Hop/Rap
Eminem;Medicine Ball;3:57;Relapse;2009;Hip-Hop/Rap
Eminem;Paul (Skit);0:19;Relapse;2009;Hip-Hop/Rap
Eminem;Stay Wide Awake;5:19;Relapse;2009;Hip-Hop/Rap
Eminem;Old Time's Sake;4:38;Relapse;2009;Hip-Hop/Rap
Eminem;Must Be the Ganja;4:02;Relapse;2009;Hip-Hop/Rap
Eminem;Mr. Mathers (Skit);0:42;Relapse;2009;Hip-Hop/Rap
Eminem;Déjà vu;4:43;Relapse;2009;Hip-Hop/Rap
Eminem;Beautiful;6:32;Relapse;2009;Hip-Hop/Rap
Eminem;Crack a Bottle;4:57;Relapse;2009;Hip-Hop/Rap
Eminem;Steve Berman (Skit);1:29;Relapse;2009;Hip-Hop/Rap
Eminem;Underground/Ken Kaniff;6:11;Relapse;2009;Hip-Hop/Rap
Eminem;We Made You (Single Version);4:47;Relapse;2009;Hip-Hop/Rap
Eminem;Crack a Bottle (Single Version);5:15;Relapse;2009;Hip-Hop/Rap
Eminem;Cold Wind Blows;5:03;Recovery;2010;Hip-Hop/Rap
Eminem;Talkin’ 2 Myself (feat. Kobe);5:00;Recovery;2010;Hip-Hop/Rap
Eminem;On Fire;3:33;Recovery;2010;Hip-Hop/Rap
Eminem;Won't Back Down (feat. Pink);4:25;Recovery;2010;Hip-Hop/Rap
Eminem;W.T.P.;3:58;Recovery;2010;Hip-Hop/Rap
Eminem;Going Through Changes;4:58;Recovery;2010;Hip-Hop/Rap
Eminem;Not Afraid;4:08;Recovery;2010;Hip-Hop/Rap
Eminem;Seduction;4:35;Recovery;2010;Hip-Hop/Rap
Eminem;No Love (feat. Lil Wayne);4:59;Recovery;2010;Hip-Hop/Rap
Eminem;Space Bound;4:38;Recovery;2010;Hip-Hop/Rap
Eminem;Cinderella Man;4:38;Recovery;2010;Hip-Hop/Rap
Eminem;25 to Life;4:01;Recovery;2010;Hip-Hop/Rap
Eminem;So Bad;5:25;Recovery;2010;Hip-Hop/Rap
Eminem;Almost Famous;4:52;Recovery;2010;Hip-Hop/Rap
Eminem;Love the Way You Lie (feat. Rihanna);4:23;Recovery;2010;Hip-Hop/Rap
Eminem;You’re Never Over;5:05;Recovery;2010;Hip-Hop/Rap
Eminem;Untitled;3:14;Recovery;2010;Hip-Hop/Rap
Eminem;Cold Wind Blows;5:03;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Talkin' 2 Myself (feat. Kobe);5:00;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;On Fire;3:33;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Won't Back Down (feat. P!nk);4:25;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;W.T.P.;3:58;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Going Through Changes;4:58;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Not Afraid;4:08;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Seduction;4:35;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;No Love (feat. Lil Wayne);4:59;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Space Bound;4:38;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Cinderella Man;4:38;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;25 to Life;4:01;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;So Bad;5:25;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Almost Famous;4:52;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Love the Way You Lie (feat. Rihanna);4:23;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;You're Never Over;5:05;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Untitled;3:14;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Ridaz;4:59;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Session One (feat. Slaughterhouse);4:28;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Not Afraid;4:18;Recovery (Deluxe Edition);2010;Hip-Hop/Rap
Eminem;Bad Guy;7:14;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Parking Lot (skit);0:55;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Rhyme Or Reason;5:01;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;So Much Better;4:21;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Survival;4:32;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Legacy;4:56;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;A*****e (feat. Skylar Grey);4:48;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Berzerk;3:58;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Rap God;6:03;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Brainless;4:46;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Stronger Than I Was;5:36;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;The Monster (feat. Rihanna);4:10;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;So Far...;5:17;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Love Game (feat. Kendrick Lamar);4:56;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Headlights (feat. Nate Ruess);5:43;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Evil Twin;7:33;The Marshall Mathers LP2;2013;Hip-Hop/Rap
Eminem;Bad Guy;7:14;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Parking Lot (Skit);0:55;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Rhyme or Reason;5:01;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;So Much Better;4:21;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Survival;4:32;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Legacy;4:56;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;A*****e (feat. Skylar Grey);4:48;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Berzerk;3:58;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Rap God;6:03;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Brainless;4:46;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Stronger Than I Was;5:36;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;The Monster (feat. Rihanna);4:10;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;So Far...;5:17;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Love Game (feat. Kendrick Lamar);4:56;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Headlights (feat. Nate Ruess);5:43;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Evil Twin;5:56;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Baby;4:23;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Desperation (feat. Jamie N Commons);3:56;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
Eminem;Groundhog Day;4:53;The Marshall Mathers LP2 (Deluxe);2013;Hip-Hop/Rap
